date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:15	70/70	---M-Z	200	added ('OK')	text/plain	etag:%2260-1674422942;gz%22	https://www.shredlife.org/robots.txt		(from )
22:12:15	69955/69955	---MCZ	200	added ('OK')	text/html	etag:%2262-1674427339;gz%22	https://www.shredlife.org/	C:/My%20Web%20Sites/HackityHack/www.shredlife.org/index.html	(from )
22:12:16	33547/33547	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202023%2005:12:17%20GMT	https://www.shredlife.org/apple-touch-icon.png	C:/My%20Web%20Sites/HackityHack/www.shredlife.org/apple-touch-icon.png	(from https://www.shredlife.org/)
22:12:17	33547/33547	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202023%2005:12:17%20GMT	https://www.shredlife.org/favicon-32x32.png	C:/My%20Web%20Sites/HackityHack/www.shredlife.org/favicon-32x32.png	(from https://www.shredlife.org/)
22:12:17	33547/33547	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202023%2005:12:18%20GMT	https://www.shredlife.org/favicon-16x16.png	C:/My%20Web%20Sites/HackityHack/www.shredlife.org/favicon-16x16.png	(from https://www.shredlife.org/)
22:12:17	33547/33547	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202023%2005:12:18%20GMT	https://www.shredlife.org/site.webmanifest	C:/My%20Web%20Sites/HackityHack/www.shredlife.org/site.webmanifest	(from https://www.shredlife.org/)
22:12:17	33547/33547	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Jan%202023%2005:12:18%20GMT	https://www.shredlife.org/safari-pinned-tab.svg	C:/My%20Web%20Sites/HackityHack/www.shredlife.org/safari-pinned-tab.svg	(from https://www.shredlife.org/)
22:12:18	5723/5723	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Jun%202021%2004:25:09%20GMT	https://www.shredlife.org/wp-content/uploads/elementor/thumbs/johannes-waibel-WdBQHcIiSIw-unsplash-p83t1namn482m5wmaeblxpkg78gl2myvsfig8y47b4.jpg	C:/My%20Web%20Sites/HackityHack/www.shredlife.org/wp-content/uploads/elementor/thumbs/johannes-waibel-WdBQHcIiSIw-unsplash-p83t1namn482m5wmaeblxpkg78gl2myvsfig8y47b4.jpg	(from https://www.shredlife.org/)
22:12:18	94889/94889	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Nov%202022%2003:31:57%20GMT	https://www.shredlife.org/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/My%20Web%20Sites/HackityHack/www.shredlife.org/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://www.shredlife.org/)
22:12:18	217/217	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202022%2004:09:18%20GMT	https://www.shredlife.org/wp-includes/css/classic-themes.min.css?ver=1	C:/My%20Web%20Sites/HackityHack/www.shredlife.org/wp-includes/css/classic-themes.min68b3.css	(from https://www.shredlife.org/)
22:12:18	2640/2640	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Jun%202021%2004:12:34%20GMT	https://www.shredlife.org/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4.1	C:/My%20Web%20Sites/HackityHack/www.shredlife.org/wp-content/plugins/contact-form-7/includes/css/stylesc225.css	(from https://www.shredlife.org/)
22:12:19	68/68	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Jun%202021%2004:07:40%20GMT	https://www.shredlife.org/wp-content/plugins/svg-support/css/svgs-attachment.css?ver=6.1.1	C:/My%20Web%20Sites/HackityHack/www.shredlife.org/wp-content/plugins/svg-support/css/svgs-attachment6a4d.css	(from https://www.shredlife.org/)
22:12:19	2335/2335	---MCZ	200	added ('OK')	application/rss+xml	etag:%22e2f62752fbccd98bf0355fcde9f07bc1%22	https://www.shredlife.org/feed/	C:/My%20Web%20Sites/HackityHack/www.shredlife.org/feed/index.html	(from https://www.shredlife.org/)
22:12:19	1647/1647	---MCZ	200	added ('OK')	application/rss+xml	etag:%22e2f62752fbccd98bf0355fcde9f07bc1%22	https://www.shredlife.org/comments/feed/	C:/My%20Web%20Sites/HackityHack/www.shredlife.org/comments/feed/index.html	(from https://www.shredlife.org/)
22:12:19	16728/16728	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Jun%202021%2004:02:05%20GMT	https://www.shredlife.org/wp-content/themes/shredlife/style.css?ver=1.0.0	C:/My%20Web%20Sites/HackityHack/www.shredlife.org/wp-content/themes/shredlife/style8a54.css	(from https://www.shredlife.org/)
